timestamp,cfg_0,cfg_1,cfg_2,cfg_3
2024-01-01,0.000455,-0.005706,0.005650,0.015047
2024-01-02,0.010985,-0.006288,-0.002882,-0.006206
2024-01-03,0.007939,-0.003134,0.000036,-0.014411
2024-01-04,0.007763,-0.009797,0.001716,0.011903
2024-01-05,0.016711,0.002814,0.006007,0.006259
2024-01-06,-0.011532,0.025966,-0.009544,0.016835
2024-01-07,-0.005746,-0.005443,0.012660,-0.005209
2024-01-08,-0.012683,-0.015837,0.007512,-0.015658
2024-01-09,-0.000554,0.010257,0.018618,0.017037
2024-01-10,0.010511,-0.000400,0.008401,0.004570
2024-01-11,0.000304,0.020357,0.010262,-0.003952
2024-01-12,0.005482,0.004352,-0.029498,0.023037
2024-01-13,-0.018584,0.009795,-0.004428,0.002513
2024-01-14,0.001994,-0.007276,0.018607,-0.005997
2024-01-15,-0.008546,-0.015495,0.003837,0.005942
2024-01-16,0.018277,-0.001456,-0.004552,-0.003000
2024-01-17,0.009392,0.006988,0.006943,-0.005947
2024-01-18,0.010017,-0.008310,0.000879,0.006233
2024-01-19,-0.000055,-0.015637,0.004003,0.002644
2024-01-20,0.006652,-0.005733,-0.007206,0.000388
2024-01-21,0.007102,-0.004270,0.005276,0.001184
2024-01-22,-0.002921,-0.003152,0.015186,-0.011096
2024-01-23,-0.004450,-0.000243,0.002416,0.009249
2024-01-24,-0.000624,0.023929,0.004442,0.021012
2024-01-25,-0.005531,0.000315,-0.006986,0.005035
2024-01-26,-0.005420,-0.004961,0.004849,0.014824
2024-01-27,-0.002310,-0.010849,-0.004082,0.021769
2024-01-28,-0.006761,0.007932,-0.013588,0.000072
2024-01-29,0.008187,-0.015853,-0.004197,-0.004467
2024-01-30,-0.015437,0.014351,-0.002372,-0.007251
2024-01-31,0.008759,-0.000169,0.005577,-0.002476
2024-02-01,-0.005732,-0.015102,0.009507,0.009875
2024-02-02,-0.004936,0.001713,-0.002035,0.000739
2024-02-03,-0.012985,-0.001279,-0.003654,0.013824
2024-02-04,-0.000919,0.012083,0.006350,-0.004143
2024-02-05,-0.001953,-0.015100,-0.009087,0.018404
2024-02-06,0.002438,0.001854,-0.003421,-0.000975
2024-02-07,-0.004814,-0.000336,-0.002439,0.001309
2024-02-08,0.001461,0.008979,-0.001722,0.002814
2024-02-09,0.018720,-0.011517,-0.006031,-0.000138
2024-02-10,0.004613,-0.007959,0.016247,0.000985
2024-02-11,-0.005213,0.019416,0.009531,0.007894
2024-02-12,0.010055,0.005340,-0.001740,0.000962
2024-02-13,-0.000765,-0.014940,-0.014425,0.006427
2024-02-14,0.006462,0.003021,-0.005106,-0.005749
2024-02-15,0.006651,-0.008079,0.005873,-0.005759
2024-02-16,-0.003387,-0.007095,-0.019573,-0.011843
2024-02-17,-0.018779,-0.012396,0.024834,0.009032
2024-02-18,-0.002953,0.009570,-0.000814,-0.006292
2024-02-19,0.006038,-0.005595,-0.000555,0.006205
2024-02-20,-0.003278,0.001733,0.006329,0.002892
2024-02-21,0.004913,0.000511,-0.014328,0.003081
2024-02-22,0.010319,-0.015391,0.000633,-0.000382
2024-02-23,-0.004918,-0.007660,-0.000086,0.007471
2024-02-24,0.012837,0.007392,0.007117,0.006704
2024-02-25,0.016741,-0.015886,-0.010135,0.018029
2024-02-26,0.011314,0.002217,0.006268,-0.000257
2024-02-27,0.012178,-0.001295,0.011931,-0.001685
2024-02-28,0.011491,0.006193,0.002974,-0.009870
2024-02-29,0.023069,0.006597,-0.005430,0.023321
2024-03-01,0.002382,0.007991,-0.008493,-0.004925
2024-03-02,0.000544,0.000366,-0.017787,0.009960
2024-03-03,0.006554,0.002351,-0.005724,0.009477
2024-03-04,-0.008559,-0.007229,0.005062,-0.009955
2024-03-05,-0.015008,-0.005598,0.015056,-0.004323
2024-03-06,-0.008297,0.008789,0.010410,0.009098
2024-03-07,0.004249,-0.006129,0.012057,0.001811
2024-03-08,0.005254,0.010052,-0.004708,-0.010720
2024-03-09,-0.014840,0.009811,-0.004278,0.003058
2024-03-10,-0.018311,-0.008100,-0.015347,0.016621
2024-03-11,-0.002638,0.005453,-0.006691,0.005151
2024-03-12,-0.001357,-0.008237,-0.011305,0.007112
2024-03-13,0.000031,0.003274,-0.002463,0.014275
2024-03-14,0.007237,-0.007865,0.006793,0.022905
2024-03-15,0.012812,0.003239,-0.001143,0.002019
2024-03-16,0.002832,0.001588,-0.003256,-0.004366
2024-03-17,0.006650,-0.010471,0.006946,0.000944
2024-03-18,-0.010429,0.020382,0.015216,-0.003088
2024-03-19,-0.011240,0.009536,0.010894,-0.011836
2024-03-20,0.002886,-0.016012,-0.016947,0.000001
2024-03-21,0.007170,0.003440,0.017544,-0.007965
2024-03-22,0.007786,-0.004271,-0.004343,0.013691
2024-03-23,0.006451,0.020442,-0.014379,0.000251
2024-03-24,0.008365,-0.000565,-0.003517,-0.024324
2024-03-25,0.008622,0.003960,0.010113,-0.008926
2024-03-26,-0.016998,-0.001769,-0.026586,0.004754
2024-03-27,-0.006818,0.006359,0.013209,-0.004714
2024-03-28,0.005075,-0.005282,0.002293,-0.007141
2024-03-29,0.006490,-0.008897,0.005728,-0.004692
2024-03-30,-0.014598,-0.004878,-0.013633,-0.007589
